SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-cardiff04,8052,5123,13997,2.533,0.604,0.111,0.025,62,8.1
sub-cardiff05,7674,4800,14954,2.907,0.595,0.099,0.020,50,6.0
sub-cardiff06,8096,4986,14133,2.627,0.571,0.101,0.022,62,7.1
sub-cmrra01,8931,5806,18434,2.853,0.569,0.100,0.018,66,6.6
sub-cmrra02,8329,4960,15687,2.881,0.673,0.096,0.022,61,7.4
sub-cmrra03,7433,4701,14383,2.756,0.609,0.105,0.020,54,5.8
sub-cmrra04,6051,3856,12969,2.953,0.599,0.098,0.019,40,4.9
sub-cmrra05,7169,4665,13696,2.669,0.573,0.108,0.023,66,6.7
sub-cmrra06,8092,5166,14478,2.589,0.534,0.109,0.021,69,6.8
sub-cmrrb01,7612,4867,11487,2.127,0.630,0.112,0.023,69,6.9
sub-cmrrb02,7597,4793,14520,2.740,0.559,0.105,0.021,58,6.6
sub-cmrrb03,8876,5797,17975,2.794,0.573,0.101,0.018,63,6.6
sub-cmrrb04,8890,5422,16335,2.761,0.680,0.102,0.022,65,8.0
sub-cmrrb05,8259,5119,15087,2.646,0.648,0.102,0.020,58,6.6
sub-cmrrb06,7931,4907,13283,2.532,0.545,0.101,0.020,54,6.6
sub-cmrrb07,6634,4360,12938,2.688,0.555,0.101,0.019,49,5.0
sub-dresden01,6577,4196,11993,2.603,0.521,0.104,0.018,48,5.0
sub-dresden02,7675,4853,13709,2.627,0.503,0.104,0.021,64,6.6
sub-fslAchieva01,8046,5192,14502,2.604,0.467,0.105,0.023,58,7.6
sub-fslAchieva02,7422,5004,14127,2.552,0.491,0.111,0.023,64,7.1
sub-fslAchieva03,5819,3918,11085,2.595,0.513,0.111,0.023,45,5.5
sub-fslAchieva04,6396,4296,12461,2.583,0.584,0.120,0.028,54,7.3
sub-fslAchieva05,6299,4232,12037,2.563,0.516,0.111,0.022,49,5.8
sub-fslPrisma01,7201,4517,13644,2.786,0.553,0.096,0.017,47,4.9
sub-fslPrisma02,7062,4229,10501,2.406,0.553,0.104,0.023,53,6.4
sub-fslPrisma03,6401,4145,12792,2.794,0.639,0.108,0.022,46,6.0
sub-fslPrisma04,7986,4739,14007,2.741,0.605,0.097,0.021,57,6.7
sub-fslPrisma05,7071,4625,14564,2.850,0.645,0.108,0.023,53,6.7
sub-fslPrisma06,8654,5213,13891,2.473,0.568,0.100,0.019,63,7.0
sub-geneva01,7738,4832,13173,2.554,0.536,0.104,0.022,59,6.8
sub-geneva02,7310,4620,13464,2.672,0.554,0.101,0.020,51,6.0
sub-geneva03,8346,5161,16310,2.852,0.612,0.094,0.018,51,6.2
sub-geneva04,7819,4903,15293,2.792,0.597,0.102,0.020,55,6.3
sub-geneva05,9582,5794,15073,2.452,0.552,0.102,0.021,71,8.3
sub-geneva06,8474,5157,14825,2.675,0.617,0.094,0.019,58,6.5
sub-hamburg01,11691,7725,23219,2.809,0.562,0.116,0.026,106,13.1
sub-hamburg02,7228,4608,13574,2.597,0.613,0.108,0.021,58,6.7
sub-hamburg03,7215,4420,12896,2.723,0.539,0.100,0.018,51,5.4
sub-hamburg04,7865,4740,13771,2.585,0.604,0.096,0.018,54,5.7
sub-hamburg05,6802,4214,12342,2.658,0.722,0.106,0.021,55,6.1
sub-hamburg06,7613,4931,14418,2.662,0.588,0.108,0.021,67,6.6
sub-juntendo750w01,6616,4278,11687,2.517,0.680,0.118,0.030,54,8.2
sub-juntendo750w02,8275,5275,13456,2.405,0.707,0.121,0.032,70,11.0
sub-juntendo750w03,8709,5541,13184,2.272,0.692,0.116,0.032,77,11.5
sub-juntendo750w04,8892,5546,15228,2.555,0.661,0.114,0.029,74,10.7
sub-juntendo750w05,7169,4653,13063,2.601,0.618,0.124,0.034,68,10.0
sub-juntendo750w06,8179,5291,14229,2.455,0.659,0.113,0.030,63,10.0
sub-mgh01,6831,4456,12416,2.533,0.594,0.111,0.021,59,5.9
sub-mgh02,7395,4813,12665,2.405,0.520,0.109,0.022,56,6.7
sub-mgh03,5409,3453,9798,2.556,0.588,0.106,0.020,42,4.6
sub-mgh04,9884,5916,16952,2.665,0.654,0.103,0.022,76,9.3
sub-mgh05,8836,5498,15642,2.574,0.597,0.101,0.019,64,7.0
sub-mgh06,7399,4468,13891,2.749,0.637,0.089,0.016,45,4.8
sub-milan05,7254,4394,11949,2.503,0.582,0.100,0.020,54,5.8
sub-milan06,6632,4106,12447,2.810,0.634,0.110,0.026,55,7.2
sub-mniPilot1,7129,4535,13703,2.725,0.618,0.106,0.021,55,6.1
sub-mniS01,8598,5189,15115,2.720,0.561,0.092,0.018,55,6.4
sub-mniS02,8674,5521,17623,2.886,0.556,0.101,0.018,62,6.7
sub-mniS03,6838,4323,13094,2.706,0.589,0.106,0.022,57,6.3
sub-mniS04,7826,4769,15014,2.884,0.639,0.099,0.020,53,6.3
sub-mniS05,7276,4627,14364,2.758,0.596,0.107,0.021,56,6.4
sub-mniS06,9319,5423,16740,2.802,0.660,0.092,0.020,59,7.4
sub-mniS07,7345,4706,13441,2.606,0.510,0.103,0.023,59,6.4
sub-mniS08,6743,4226,13695,2.966,0.525,0.093,0.018,42,5.0
sub-mniS09,6697,4157,11917,2.628,0.477,0.099,0.018,43,5.1
sub-mountSinai01,8513,4959,13984,2.610,0.588,0.097,0.021,57,7.0
sub-mountSinai02,7305,4762,13010,2.559,0.607,0.108,0.023,55,6.8
sub-mountSinai03,8196,5174,14830,2.593,0.633,0.111,0.025,65,8.2
sub-mountSinai04,8037,5056,13655,2.515,0.597,0.103,0.021,56,6.9
sub-mountSinai05,7643,4657,12867,2.525,0.560,0.096,0.018,51,5.8
sub-mountSinai06,8224,5146,14803,2.628,0.581,0.102,0.020,57,6.9
sub-mpicbs01,6786,4195,12187,2.674,0.580,0.096,0.017,46,4.6
sub-mpicbs02,6838,4247,13080,2.794,0.706,0.100,0.021,44,5.9
