SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-nwu04,7579,4894,12201,2.240,0.637,0.107,0.022,62,7.0
sub-nwu05,7017,4518,10454,2.125,0.651,0.105,0.020,56,6.0
sub-nwu06,5426,3445,6679,1.858,0.534,0.115,0.027,55,5.7
sub-oxfordFmrib01,7636,5148,9950,1.855,0.536,0.121,0.031,73,10.1
sub-oxfordFmrib02,7005,4495,10326,2.068,0.644,0.106,0.022,65,6.8
sub-oxfordFmrib03,6359,3983,9498,2.148,0.580,0.100,0.019,55,4.8
sub-oxfordFmrib04,6714,4393,11278,2.283,0.663,0.103,0.019,55,5.4
sub-oxfordFmrib05,6534,4152,8944,1.942,0.552,0.101,0.018,52,4.8
sub-oxfordFmrib06,5881,3804,7992,1.900,0.556,0.098,0.017,45,4.1
sub-oxfordFmrib07,6509,4202,10490,2.211,0.603,0.106,0.022,56,5.8
sub-oxfordFmrib08,6407,4155,10745,2.285,0.591,0.105,0.019,53,5.0
sub-oxfordFmrib09,6945,4427,10525,2.172,0.566,0.104,0.019,58,5.5
sub-oxfordFmrib10,5927,3831,9876,2.278,0.608,0.099,0.019,45,4.5
sub-oxfordFmrib11,5917,3831,9587,2.226,0.565,0.100,0.018,48,4.6
sub-oxfordOhba01,5680,3699,8062,1.929,0.556,0.098,0.017,46,4.0
sub-oxfordOhba02,6308,4111,9815,2.115,0.596,0.102,0.018,51,4.8
sub-oxfordOhba03,6730,4224,8786,1.904,0.529,0.103,0.020,53,5.6
sub-oxfordOhba04,6510,4337,11386,2.318,0.657,0.108,0.021,58,5.8
sub-oxfordOhba05,6922,4443,9791,1.993,0.650,0.104,0.020,56,6.0
sub-pavia01,5884,3719,9465,2.257,0.656,0.095,0.019,41,4.6
sub-pavia02,4155,2812,7271,2.342,0.466,0.111,0.021,39,3.6
sub-pavia03,6984,4691,10678,2.051,0.650,0.115,0.024,66,6.8
sub-pavia04,4829,3240,7410,2.047,0.719,0.116,0.029,49,5.6
sub-pavia05,5213,3375,8439,2.232,0.577,0.106,0.020,42,4.2
sub-pavia06,6633,4288,10082,2.114,0.630,0.098,0.018,49,5.0
sub-perform01,6891,4592,10440,2.014,0.630,0.123,0.039,72,9.7
sub-perform02,5204,3441,7954,2.051,0.601,0.130,0.043,62,8.3
sub-perform03,5948,3794,8324,1.971,0.598,0.105,0.027,50,5.9
sub-perform04,6446,4370,9933,2.078,0.600,0.119,0.035,70,8.6
sub-perform05,4879,3324,7683,2.027,0.636,0.125,0.038,53,7.1
sub-perform06,5710,3926,8903,2.045,0.653,0.134,0.041,67,9.2
sub-queensland01,6981,4333,9787,2.028,0.615,0.091,0.017,44,4.8
sub-queensland02,5316,3479,8492,2.180,0.684,0.111,0.020,47,4.4
sub-queensland03,7272,4627,10030,2.003,0.521,0.098,0.017,54,5.3
sub-queensland04,5748,3753,7344,1.775,0.504,0.109,0.020,52,5.0
sub-queensland05,5242,3542,10068,2.530,0.592,0.105,0.017,45,4.0
sub-queensland06,6475,4121,9297,2.083,0.585,0.100,0.020,47,5.4
sub-sherbrooke01,5730,3648,8440,2.072,0.580,0.106,0.022,89,5.3
sub-sherbrooke02,5532,3606,8477,2.087,0.527,0.109,0.021,52,5.0
sub-sherbrooke03,6778,4415,11100,2.200,0.655,0.110,0.024,61,6.7
sub-sherbrooke04,4549,3031,7429,2.143,0.666,0.107,0.021,37,3.8
sub-sherbrooke05,6145,4012,9805,2.174,0.525,0.118,0.027,63,6.4
sub-sherbrooke06,6054,3913,9372,2.164,0.588,0.103,0.020,45,5.0
sub-sherbrooke07,6622,4319,9391,1.981,0.483,0.103,0.020,56,5.5
sub-stanford01,6771,4568,9908,1.986,0.550,0.121,0.035,65,9.1
sub-stanford02,6442,3992,7503,1.817,0.627,0.106,0.026,48,6.8
sub-stanford03,6968,4811,10831,2.079,0.668,0.139,0.044,87,12.3
sub-stanford04,5830,3840,8689,2.070,0.585,0.116,0.029,53,6.7
sub-stanford05,7251,4954,12111,2.152,0.622,0.122,0.030,77,8.7
