SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-cmrrb07,8293,5194,12741,2.286,0.620,0.096,0.017,60,5.9
sub-dresden01,6240,3985,11500,2.605,0.534,0.094,0.016,41,3.9
sub-dresden02,7901,5158,14600,2.584,0.513,0.110,0.022,69,7.3
sub-fslAchieva01,7378,4979,13673,2.569,0.480,0.115,0.025,60,7.6
sub-fslAchieva02,7022,4692,13355,2.590,0.496,0.109,0.022,51,6.8
sub-fslAchieva03,6030,4170,11770,2.637,0.500,0.110,0.023,44,5.8
sub-fslAchieva04,6380,4386,12110,2.561,0.505,0.117,0.025,49,6.9
sub-fslAchieva05,6355,4312,12370,2.598,0.507,0.110,0.021,50,5.5
sub-fslPrisma01,7898,4961,14665,2.687,0.553,0.096,0.017,53,5.5
sub-fslPrisma02,8211,5151,13351,2.448,0.562,0.110,0.025,70,8.6
sub-fslPrisma03,6528,4222,13164,2.758,0.602,0.105,0.022,46,5.9
sub-fslPrisma04,7423,4602,13976,2.790,0.663,0.104,0.022,54,6.6
sub-fslPrisma05,7311,4905,15863,2.898,0.628,0.114,0.022,62,6.9
sub-fslPrisma06,8032,4779,12326,2.424,0.609,0.096,0.018,53,6.2
sub-geneva01,7664,4990,13813,2.511,0.584,0.107,0.021,59,6.6
sub-geneva02,6704,4283,11781,2.484,0.532,0.093,0.016,39,4.6
sub-geneva03,7691,4892,14969,2.768,0.611,0.096,0.018,46,5.7
sub-geneva04,8181,5327,15473,2.642,0.577,0.102,0.020,57,6.8
sub-geneva05,8235,5346,13644,2.404,0.547,0.113,0.024,65,8.3
sub-geneva06,9040,5651,15856,2.560,0.582,0.102,0.019,64,7.2
sub-hamburg01,10034,6591,19364,2.761,0.501,0.113,0.023,86,9.7
sub-hamburg02,7294,4647,13448,2.642,0.540,0.105,0.019,54,6.0
sub-hamburg03,9322,5937,13795,2.158,0.636,0.106,0.020,74,7.6
sub-hamburg04,7032,4305,11843,2.495,0.583,0.095,0.017,43,5.0
sub-hamburg05,7043,4393,13032,2.682,0.613,0.102,0.019,51,5.6
sub-hamburg06,8581,5581,16318,2.636,0.589,0.115,0.023,81,8.5
sub-juntendo750w01,6738,4426,11789,2.463,0.656,0.122,0.032,57,9.3
sub-juntendo750w02,7483,5059,12783,2.331,0.656,0.128,0.039,72,11.9
sub-juntendo750w03,8466,5560,14404,2.433,0.668,0.121,0.034,71,11.9
sub-juntendo750w04,8518,5300,13725,2.420,0.658,0.116,0.032,75,11.1
sub-juntendo750w05,6815,4430,11889,2.497,0.587,0.122,0.033,60,8.9
sub-juntendo750w06,7382,4888,13921,2.576,0.644,0.116,0.030,62,8.7
sub-mgh01,6520,4176,11907,2.559,0.589,0.112,0.022,57,5.8
sub-mgh02,6968,4489,11176,2.339,0.477,0.102,0.018,49,5.5
sub-mgh03,4905,3144,6627,1.963,0.536,0.106,0.021,40,4.2
sub-mgh04,9030,5526,14937,2.520,0.609,0.100,0.021,67,7.8
sub-mgh05,9664,6067,16882,2.558,0.557,0.098,0.018,67,7.0
sub-mgh06,7375,4287,13028,2.750,0.673,0.090,0.017,49,5.3
sub-milan05,6706,4285,12108,2.547,0.589,0.105,0.020,52,5.7
sub-milan06,7241,4356,13370,2.809,0.650,0.099,0.019,52,5.7
sub-mniPilot1,7665,5087,14807,2.602,0.587,0.113,0.021,65,6.8
sub-mniS01,9130,5674,15890,2.592,0.512,0.090,0.016,59,6.0
sub-mniS02,8225,5312,16121,2.762,0.563,0.102,0.017,62,6.0
sub-mniS03,6257,4034,11629,2.616,0.548,0.105,0.020,48,5.3
sub-mniS04,7239,4481,13976,2.813,0.657,0.104,0.020,54,6.3
sub-mniS05,9580,6265,14766,2.169,0.620,0.117,0.023,96,9.2
sub-mniS06,8883,5227,15306,2.717,0.621,0.092,0.020,59,7.5
sub-mniS07,6499,4273,9806,2.153,0.559,0.102,0.018,47,5.1
sub-mniS08,5831,3829,11887,2.837,0.581,0.110,0.021,43,5.1
sub-mniS09,8349,5444,12229,2.113,0.557,0.106,0.018,69,6.4
sub-mountSinai01,7601,4556,11810,2.470,0.570,0.097,0.020,48,6.4
sub-mountSinai02,8242,5266,14542,2.519,0.555,0.103,0.021,59,7.1
sub-mountSinai03,8827,5506,15681,2.616,0.659,0.106,0.022,65,8.0
sub-mountSinai04,8858,5613,15248,2.563,0.597,0.103,0.020,62,7.5
sub-mountSinai05,8309,5085,14841,2.649,0.568,0.098,0.018,55,6.3
sub-mountSinai06,8553,5256,14748,2.569,0.596,0.100,0.022,63,7.8
sub-mpicbs01,6211,4071,11512,2.577,0.562,0.100,0.018,45,4.6
sub-mpicbs02,6497,4135,13065,2.829,0.720,0.097,0.019,39,5.0
sub-mpicbs03,8515,5220,14638,2.608,0.600,0.101,0.022,60,7.6
sub-mpicbs05,6452,4206,13097,2.836,0.581,0.105,0.019,47,5.1
sub-mpicbs06,6801,4549,12977,2.590,0.561,0.106,0.018,56,5.3
sub-mpicbs07,7223,4685,13885,2.720,0.558,0.106,0.022,57,6.6
sub-nottwil01,6452,4355,12295,2.575,0.548,0.113,0.023,52,6.3
sub-nottwil02,7075,4701,14499,2.773,0.596,0.108,0.023,52,6.8
sub-nottwil03,7487,5039,13967,2.563,0.507,0.119,0.025,65,8.1
sub-nottwil04,6775,4578,13590,2.664,0.571,0.110,0.022,50,6.2
sub-nottwil05,6703,4405,12248,2.610,0.485,0.108,0.021,48,5.9
sub-nottwil06,8422,5443,14849,2.541,0.530,0.106,0.022,60,7.6
sub-nwu02,7249,4535,13863,2.749,0.663,0.105,0.021,53,6.5
sub-nwu03,6924,4489,14050,2.786,0.645,0.097,0.016,44,4.7
sub-nwu04,9761,6383,18265,2.672,0.605,0.107,0.021,68,8.8
sub-nwu05,8928,5690,17493,2.799,0.628,0.106,0.021,66,7.8
sub-nwu06,7072,4585,11397,2.371,0.596,0.120,0.028,63,8.5
sub-oxfordFmrib01,8680,5733,12878,2.301,0.681,0.125,0.036,79,13.3
sub-oxfordFmrib02,8718,5623,16786,2.721,0.569,0.109,0.023,69,7.9
sub-oxfordFmrib03,7465,4809,14741,2.788,0.583,0.100,0.019,51,5.9
sub-oxfordFmrib04,7495,5039,14725,2.669,0.588,0.108,0.022,62,6.9
sub-oxfordFmrib05,7867,4921,13189,2.477,0.496,0.096,0.016,52,5.3
sub-oxfordFmrib06,6578,4173,12180,2.666,0.571,0.099,0.018,45,4.8
sub-oxfordFmrib07,9089,6001,16654,2.596,0.582,0.115,0.026,81,9.8
sub-oxfordFmrib08,7526,4855,14448,2.683,0.629,0.103,0.019,53,6.0
sub-oxfordFmrib09,8614,5366,15301,2.645,0.585,0.102,0.018,61,6.6
sub-oxfordFmrib10,7411,4722,13835,2.712,0.536,0.102,0.018,56,5.5
sub-oxfordFmrib11,7383,4851,14395,2.694,0.573,0.099,0.018,48,5.5
sub-oxfordOhba01,6658,4196,12201,2.620,0.586,0.100,0.017,47,5.0
sub-oxfordOhba02,8715,5654,16042,2.572,0.524,0.103,0.019,67,6.9
sub-oxfordOhba03,8377,5260,13728,2.428,0.519,0.102,0.019,63,6.8
sub-oxfordOhba04,7451,5107,14387,2.597,0.566,0.110,0.023,62,7.2
sub-oxfordOhba05,8811,5565,16350,2.704,0.577,0.106,0.021,67,7.6
